gene_name	transcript_id	strand	nreads	ntranscripts	nFSM	nISM	nNIC	nNNC	nFSMreads	nISMreads	nNICreads	nNNCreads
TRPC4AP	ENST00000252015.3	-	9919	281	3	60	54	164	4204	2559	440	2716
TRPC5	ENST00000262839.3	-	25	10	0	9	0	1	0	22	0	3
TRPC5OS	ENST00000635763.2	+	9	1	0	0	0	1	0	0	0	9
TRPC6	ENST00000344327.8	-	198	54	14	35	1	4	64	118	2	14
TRPC7	ENST00000513104.6	-	26	8	4	3	0	1	17	7	0	2
TRPM2	ENST00000397928.6	+	562	70	4	55	0	11	20	455	0	87
TRPM3	ENST00000677713.2	-	198	32	2	26	0	4	13	173	0	12
TRPM4	ENST00000252826.10	+	1676	65	7	31	9	18	145	1391	44	96
TRPM6	ENST00000360774.6	-	4	2	0	1	0	1	0	2	0	2
TRPM7	ENST00000646667.1	-	1206	93	1	55	8	29	4	861	229	112
TRPM8	ENST00000324695.9	+	10	3	1	2	0	0	3	7	0	0
TRPS1	ENST00000395715.8	-	79	25	4	21	0	0	11	68	0	0
TRPT1	ENST00000317459.11	-	6588	255	10	30	82	133	1373	788	1579	2848
TRPV1	ENST00000572705.2	-	204	33	6	19	5	3	29	148	21	6
TRPV2	ENST00000338560.12	+	853	63	7	17	5	34	366	176	14	297
TRPV3	ENST00000576742.6	-	44	9	1	7	1	0	3	39	2	0
TRPV6	ENST00000359396.9	-	4	2	0	1	0	1	0	2	0	2
TRRAP	ENST00000456197.2	+	2058	212	0	154	25	32	0	1747	96	210
TRUB1	ENST00000298746.5	+	3332	95	19	29	11	36	2755	337	88	152
TRUB2	ENST00000372890.6	-	11337	124	20	12	11	81	9873	536	183	745
TSACC	ENST00000368254.6	+	27	8	3	3	1	1	13	7	5	2
TSC1	ENST00000298552.9	-	4938	263	45	154	29	35	1705	2847	183	203
TSC2	ENST00000219476.9	+	37209	583	43	197	55	288	5396	22500	293	9020
TSC22D1	ENST00000458659.3	-	142879	682	71	3	10	598	126110	63	129	16577
TSC22D2	ENST00000688009.1	+	636	74	62	4	7	1	594	19	21	2
TSC22D3	ENST00000372383.9	-	13840	95	16	0	8	71	13443	0	37	360
TSC22D4	ENST00000300181.7	-	12221	71	9	13	10	39	11187	691	93	250
TSEN15	ENST00000645668.2	+	11134	166	33	45	17	71	8606	1999	171	358
TSEN2	ENST00000284995.11	+	3032	259	44	99	52	64	1443	1131	222	236
TSEN34	ENST00000396388.3	+	1452	42	30	6	0	6	1356	62	0	34
TSEN54	ENST00000333213.11	+	773	75	14	46	10	5	302	415	43	13
TSFM	ENST00000652027.2	+	7012	91	15	26	10	40	6106	572	141	193
TSG101	ENST00000251968.4	-	32465	302	16	37	43	206	23969	3256	1910	3330
TSGA10	ENST00000393483.8	-	1685	156	10	71	63	12	266	807	576	36
TSGA10IP	ENST00000532620.6	+	18	5	1	1	0	3	3	2	0	13
TSGA13	ENST00000356588.8	-	140	14	0	0	2	12	0	0	5	135
TSHR	ENST00000298171.7	+	41	8	5	1	1	1	24	2	9	6
TSHZ1	ENST00000580243.3	+	19	6	5	0	0	1	17	0	0	2
TSHZ2	ENST00000371497.10	+	2	1	0	0	0	1	0	0	0	2
TSHZ3	ENST00000240587.5	-	1078	40	13	5	16	6	818	49	194	17
TSKS	ENST00000246801.8	-	17	4	0	0	0	4	0	0	0	17
TSKU	ENST00000333090.5	+	447	8	4	0	0	4	436	0	0	11
TSLP	ENST00000344895.4	+	61	4	4	0	0	0	61	0	0	0
TSN	ENST00000389682.8	+	17878	267	64	52	29	122	14313	1208	668	1689
TSNARE1	ENST00000524325.6	-	1195	146	7	36	47	56	110	422	242	421
TSNAX	ENST00000366639.9	+	11927	98	7	29	14	48	9802	806	285	1034
TSNAXIP1	ENST00000561639.6	+	854	121	6	30	53	31	62	162	346	282
TSPAN1	ENST00000372003.6	+	184	38	1	9	2	26	3	57	4	120
TSPAN10	ENST00000611590.2	+	222	6	4	0	0	2	218	0	0	4
TSPAN11	ENST00000546076.6	+	130	34	9	12	0	13	34	54	0	42
TSPAN12	ENST00000222747.8	-	1338	47	9	9	14	15	960	128	165	85
TSPAN13	ENST00000262067.5	+	30595	304	16	36	11	240	1848	4825	329	23590
TSPAN14	ENST00000429989.8	+	4897	175	23	34	27	91	2217	939	1007	734
TSPAN15	ENST00000373290.7	+	1744	49	9	17	3	20	1366	173	111	94
TSPAN16	ENST00000590327.6	+	56	9	0	4	1	4	0	34	3	19
TSPAN17	ENST00000508164.6	+	963	85	13	42	12	18	357	484	50	72
TSPAN18	ENST00000520358.7	+	214	40	20	15	1	4	122	82	2	8
TSPAN19	ENST00000532498.7	-	239	39	3	3	27	6	45	9	117	68
TSPAN2	ENST00000369516.7	-	2848	147	27	46	24	50	775	739	155	1179
TSPAN3	ENST00000267970.9	-	72555	335	51	49	8	227	63138	6797	85	2535
TSPAN31	ENST00000257910.8	+	7188	166	23	38	40	65	4457	1042	1309	380
TSPAN33	ENST00000486685.3	+	333	22	8	13	0	1	134	197	0	2
TSPAN4	ENST00000397397.7	+	945	56	9	25	13	9	475	355	77	38
TSPAN5	ENST00000305798.8	-	3823	117	17	15	17	68	2092	1150	283	298
TSPAN6	ENST00000373020.9	-	12515	158	14	34	40	70	9436	667	1068	1344
TSPAN7	ENST00000378482.7	+	149209	771	8	37	33	693	131249	10322	957	6681
TSPAN8	ENST00000247829.8	-	120	5	4	1	0	0	118	2	0	0
TSPAN9	ENST00000011898.10	+	138	18	5	6	1	6	86	26	2	24
TSPEAR	ENST00000323084.9	-	9	3	0	1	0	2	0	2	0	7
TSPO	ENST00000337554.8	+	9476	51	11	5	0	35	7113	1594	0	769
TSPO2	ENST00000373161.6	+	5	2	1	0	0	1	2	0	0	3
TSPOAP1	ENST00000343736.9	-	1842	184	5	59	29	91	64	1273	81	424
TSPYL1	ENST00000368608.4	-	394	121	0	0	0	80	0	0	0	260
TSPYL2	ENST00000375442.8	+	12518	288	16	52	31	189	5602	4277	790	1849
TSPYL4	ENST00000420283.3	-	48869	142	58	0	0	0	47742	0	0	0
TSPYL5	ENST00000322128.5	-	4929	43	21	0	0	0	4751	0	0	0
TSPYL6	ENST00000317802.9	-	14	4	4	0	0	0	14	0	0	0
TSR1	ENST00000301364.10	-	5245	216	12	84	24	96	995	1368	162	2720
TSR2	ENST00000375151.5	+	27761	216	6	19	9	182	4255	1113	403	21990
TSR3	ENST00000007390.3	-	1857	32	3	15	4	10	597	1170	46	44
TSSC4	ENST00000333256.11	+	3128	50	23	7	8	12	2958	67	61	42
TSSK1B	ENST00000390666.4	-	6	2	2	0	0	0	6	0	0	0
TSSK3	ENST00000373534.4	+	9	2	0	0	0	2	0	0	0	9
TSSK6	ENST00000585580.4	-	31	4	2	0	0	2	25	0	0	6
TST	ENST00000249042.8	-	825	13	7	0	2	4	790	0	17	18
TSTD1	ENST00000423014.3	-	12497	59	20	2	6	31	11417	11	139	930
TSTD2	ENST00000341170.5	-	1670	114	5	42	15	52	27	761	105	777
TTBK1	ENST00000259750.9	+	135	31	0	23	0	8	0	106	0	29
TTBK2	ENST00000267890.11	-	193	48	2	38	0	8	7	163	0	23
TTC1	ENST00000231238.10	+	20904	176	37	25	10	104	16763	2814	121	1206
TTC12	ENST00000529221.6	+	427	62	1	25	4	32	149	102	31	145
TTC13	ENST00000366661.9	-	1906	129	4	65	25	35	10	1087	644	165
TTC14	ENST00000296015.9	+	2698	177	28	66	37	46	1272	740	309	377
TTC16	ENST00000373289.4	+	2	1	0	0	1	0	0	0	2	0
TTC17	ENST00000039989.9	+	5962	293	44	100	22	127	521	2505	219	2717
TTC19	ENST00000261647.10	+	2230	106	41	37	7	21	931	1041	30	228
TTC21A	ENST00000683103.1	+	589	48	8	22	4	14	274	199	59	57
TTC21B	ENST00000243344.8	-	1657	212	25	149	3	35	283	1058	10	306
TTC22	ENST00000371276.9	-	3	1	0	1	0	0	0	3	0	0
TTC23	ENST00000394132.7	-	507	76	6	23	34	13	45	96	260	106
TTC23L	ENST00000505624.6	+	184	33	6	8	5	14	84	40	14	46
TTC24	ENST00000368236.8	+	6	2	0	0	2	0	0	0	6	0
TTC27	ENST00000317907.9	+	2391	141	0	43	3	95	0	554	6	1831
TTC28	ENST00000397906.7	-	235	49	7	18	2	22	21	117	5	92
TTC29	ENST00000325106.9	-	93	11	2	6	0	3	68	14	0	11
TTC3	ENST00000418766.6	+	35341	873	8	401	75	388	256	30489	1259	3334
TTC31	ENST00000233623.11	+	1654	152	5	47	56	44	334	416	692	212
TTC32	ENST00000333610.4	-	2481	73	41	0	5	27	817	0	218	1446
TTC33	ENST00000337702.5	-	4054	103	32	37	5	29	3147	693	59	155
TTC36	ENST00000302783.10	+	6	2	0	0	0	2	0	0	0	6
TTC38	ENST00000381031.8	+	287	27	4	10	9	4	158	37	81	11
TTC39A	ENST00000680483.1	-	294	47	6	24	7	10	68	170	27	29
TTC39B	ENST00000512701.7	-	299	59	8	15	10	26	34	70	39	156
TTC39C	ENST00000317571.8	+	206	42	19	17	0	6	135	55	0	16
TTC4	ENST00000371281.4	+	6950	130	13	47	27	43	1103	592	501	4754
TTC5	ENST00000258821.8	-	8053	84	14	23	12	35	5961	1721	193	178
TTC7A	ENST00000319190.11	+	368	88	7	63	8	10	27	278	35	28
TTC7B	ENST00000328459.11	-	3609	127	4	39	39	45	234	2711	434	230
TTC8	ENST00000380656.7	+	3670	140	10	51	15	64	1807	542	135	1186
TTC9	ENST00000256367.3	+	710	34	18	11	0	5	186	513	0	11
TTC9B	ENST00000311308.7	-	7301	45	2	3	1	39	5280	1720	20	281
TTC9C	ENST00000316461.9	+	5500	151	21	17	18	82	4253	391	271	551
TTF1	ENST00000334270.3	-	4823	98	7	40	0	51	745	3530	0	548
TTF2	ENST00000369466.9	+	315	59	6	26	6	21	47	102	36	130
TTI1	ENST00000373447.8	-	2929	86	4	24	21	37	607	440	109	1773
TTI2	ENST00000431156.7	-	3512	121	30	29	23	39	1405	374	424	1309
TTK	ENST00000369798.7	+	1512	91	5	56	9	21	847	451	112	102
TTL	ENST00000233336.7	+	427	67	10	32	7	18	68	272	15	72
TTLL1	ENST00000266254.12	-	5645	149	6	48	16	79	3115	1090	154	1286
TTLL11	ENST00000321582.11	-	161	32	16	10	1	5	117	29	3	12
TTLL12	ENST00000216129.7	-	2203	101	15	39	4	43	664	1169	12	358
TTLL2	ENST00000239587.10	+	20	5	0	0	0	5	0	0	0	20
TTLL3	ENST00000685419.1	+	856	184	14	77	69	24	54	414	278	110
TTLL4	ENST00000392102.6	+	1126	120	18	42	28	32	194	616	133	183
TTLL5	ENST00000298832.14	+	1215	196	3	96	61	36	17	644	318	236
TTLL6	ENST00000393382.8	-	30	7	0	3	0	4	0	15	0	15
TTLL7	ENST00000260505.13	-	6721	217	13	156	15	33	391	5470	515	345
TTLL9	ENST00000535842.6	+	85	25	1	9	6	9	2	26	20	37
TTN	ENST00000589042.5	-	127	32	0	27	2	2	0	108	10	4
TTPA	ENST00000260116.5	-	67	13	3	0	8	2	17	0	46	4
TTPAL	ENST00000262605.9	+	907	56	20	14	9	13	746	71	40	50
TTR	ENST00000237014.8	+	1598	15	5	6	0	4	987	600	0	11
TTYH1	ENST00000376530.8	+	6051	255	9	78	39	129	2773	1195	1052	1031
TTYH2	ENST00000269346.9	+	2848	86	20	33	11	22	1975	648	75	150
TTYH3	ENST00000258796.12	+	132	35	6	16	0	13	20	80	0	32
TUB	ENST00000299506.3	+	152	46	1	21	2	22	16	66	5	65
TUBA1A	ENST00000301071.12	-	1591332	2763	59	25	6	2673	1524832	21632	165	44703
TUBA1B	ENST00000336023.9	-	531384	978	18	13	6	941	508489	11275	403	11217
TUBA1C	ENST00000301072.11	+	7272	87	11	5	23	47	5532	378	319	1041
TUBA3D	ENST00000321253.7	+	77	11	0	8	1	2	0	49	2	26
TUBA3E	ENST00000312988.9	-	3	1	0	0	0	1	0	0	0	3
TUBA4A	ENST00000248437.9	-	41895	146	25	11	9	101	36251	4759	34	851
TUBA4B	ENST00000490341.3	+	37	5	0	2	2	1	0	23	12	2
TUBA8	ENST00000330423.8	+	5620	99	30	24	14	31	837	645	213	3925
TUBAL3	ENST00000380419.8	-	2	1	0	0	0	1	0	0	0	2
TUBB	ENST00000327892.13	+	42655	256	28	4	5	219	41188	22	14	1431
TUBB1	ENST00000217133.2	+	24	3	3	0	0	0	24	0	0	0
TUBB2A	ENST00000333628.4	-	175741	622	22	11	3	586	160938	5450	18	9335
TUBB2B	ENST00000259818.8	-	318246	1355	55	5	13	1282	304082	107	339	13718
TUBB3	ENST00000315491.12	+	125666	482	47	6	9	420	120338	3086	84	2158
TUBB4A	ENST00000264071.7	-	105043	685	30	7	5	643	97571	1269	29	6174
TUBB4B	ENST00000340384.5	+	48776	185	8	4	4	169	45615	1616	138	1407
TUBB6	ENST00000317702.10	+	3186	46	12	7	9	18	3003	54	77	52
TUBD1	ENST00000325752.8	-	1868	116	18	22	65	11	773	181	850	64
TUBE1	ENST00000368662.10	-	3689	191	30	90	26	45	1402	1571	424	292
TUBG1	ENST00000251413.8	+	16591	137	10	36	12	79	12581	2985	107	918
TUBG2	ENST00000251412.8	+	23216	473	5	63	116	289	12174	2821	2137	6084
TUBGCP2	ENST00000252936.8	-	7740	221	30	84	5	101	3644	3026	27	1039
TUBGCP3	ENST00000261965.8	-	2145	132	14	56	11	51	755	1011	59	320
TUBGCP4	ENST00000564079.6	+	1757	164	9	76	13	66	198	656	96	807
TUBGCP5	ENST00000615383.5	-	1765	126	1	45	30	50	2	873	497	393
TUBGCP6	ENST00000248846.10	-	2293	144	6	54	21	63	90	1561	155	487
TUFM	ENST00000313511.8	-	41597	259	9	27	56	167	32948	4047	2464	2138
TUFT1	ENST00000368849.8	+	1307	41	4	16	4	17	38	134	18	1117
TUG1	ENST00000644773.3	+	502	65	59	0	2	4	468	0	25	9
TULP2	ENST00000221399.8	-	6	3	0	0	3	0	0	0	6	0
TULP3	ENST00000448120.7	+	1800	80	4	33	23	20	1000	252	458	90
TULP4	ENST00000367097.8	+	1035	73	16	25	2	30	670	75	7	283
TUNAR	ENST00000503525.3	+	757	42	27	0	1	14	690	0	2	65
TUSC1	ENST00000358022.6	-	1324	19	18	0	0	0	1322	0	0	0
TUSC2	ENST00000232496.5	-	8239	69	4	9	5	51	7369	266	61	543
TUSC3	ENST00000503731.6	+	19847	404	29	99	37	239	13048	3853	591	2355
TUT1	ENST00000476907.6	-	1832	61	3	27	7	24	971	548	70	243
TUT4	ENST00000257177.9	-	5697	350	18	191	90	51	170	4682	632	213
TUT7	ENST00000375963.8	-	3970	162	5	118	2	37	82	3712	4	172
TVP23A	ENST00000299866.13	-	1238	142	10	36	48	48	150	415	427	246
TVP23B	ENST00000307767.13	+	10065	126	39	39	4	44	7381	2370	22	292
TVP23C	ENST00000518321.6	-	563	74	9	36	7	22	97	351	29	86
TWF1	ENST00000395510.7	-	7180	231	31	28	35	137	4837	427	653	1263
TWF2	ENST00000305533.10	-	11178	77	14	7	13	43	10016	509	104	549
TWIST1	ENST00000242261.6	-	171	12	9	1	0	2	161	4	0	6
TWIST2	ENST00000612363.2	+	172	19	16	0	0	3	165	0	0	7
TWNK	ENST00000311916.8	+	733	74	34	17	14	9	521	91	86	35
TWSG1	ENST00000262120.10	+	1567	54	10	15	2	27	1241	171	8	147
TXLNA	ENST00000373610.8	+	877	75	12	38	3	22	459	242	17	159
TXLNB	ENST00000358430.8	-	23	6	0	3	0	3	0	12	0	11
TXLNG	ENST00000380122.10	+	1950	120	6	84	3	27	477	1178	8	287
TXN	ENST00000374517.6	-	84380	159	15	12	8	124	80547	1840	240	1753
TXN2	ENST00000216185.7	-	23772	177	17	14	16	130	18196	2893	948	1735
TXNDC11	ENST00000283033.10	-	887	54	1	18	30	5	13	614	210	50
TXNDC12	ENST00000371626.9	-	14666	111	15	8	12	76	13654	234	111	667
TXNDC15	ENST00000358387.9	+	9125	620	43	35	29	513	3520	881	262	4462
TXNDC16	ENST00000281741.9	-	2331	99	7	47	10	34	354	1730	55	189
TXNDC17	ENST00000250101.10	+	19147	133	41	11	16	65	18049	179	312	607
TXNDC5	ENST00000379757.9	-	839	38	5	10	0	23	265	470	0	104
TXNDC9	ENST00000264255.8	-	13832	152	41	27	23	61	12175	583	523	551
TXNIP	ENST00000582401.6	-	13707	117	10	28	34	45	11712	1507	212	276
TXNL1	ENST00000217515.11	-	23295	237	27	56	23	131	18512	2676	231	1876
TXNL4A	ENST00000269601.10	-	14236	160	43	5	35	77	11689	31	2044	472
TXNL4B	ENST00000268483.8	-	2182	54	14	10	0	30	1773	92	0	317
TXNRD1	ENST00000525566.6	+	50818	713	24	132	80	477	11610	27960	3004	8244
TXNRD2	ENST00000400521.7	-	2165	104	4	21	8	71	242	452	48	1423
TXNRD3	ENST00000524230.9	-	138	25	2	20	0	3	22	109	0	7
TYK2	ENST00000525621.6	-	1400	117	14	46	41	16	491	578	236	95
TYMP	ENST00000252029.8	-	188	11	1	10	0	0	9	179	0	0
TYMS	ENST00000323274.15	+	5981	62	11	22	5	24	4717	1021	62	181
TYRO3	ENST00000263798.8	+	3783	144	3	26	21	93	737	1420	105	1519
TYROBP	ENST00000262629.9	-	2501	33	5	5	6	17	1698	407	176	220
TYRP1	ENST00000388918.10	+	385	31	3	2	0	26	13	10	0	362
TYSND1	ENST00000287078.7	-	323	34	18	4	2	10	169	20	47	87
TYW1	ENST00000359626.10	+	2357	120	9	53	5	53	257	1072	55	973
TYW1B	ENST00000620995.5	-	750	51	1	23	9	18	83	493	93	81
TYW3	ENST00000370867.8	+	2081	76	19	20	8	29	1728	147	59	147
TYW5	ENST00000354611.9	-	982	95	29	38	20	8	653	227	85	17
U2AF1	ENST00000291552.9	-	22955	215	14	22	15	164	19989	831	106	2029
U2AF1L4	ENST00000378975.8	-	4175	256	11	33	172	40	963	291	2750	171
U2AF2	ENST00000308924.9	+	656	116	5	16	6	89	204	92	20	340
U2SURP	ENST00000473835.7	+	15839	489	14	151	164	160	4688	6043	4214	894
UACA	ENST00000322954.11	-	1686	144	23	73	10	38	214	1236	45	191
UAP1	ENST00000367925.6	+	6629	160	23	63	10	64	4327	1553	71	678
UAP1L1	ENST00000409858.8	+	66	14	1	11	0	2	4	57	0	5
UBA1	ENST00000335972.11	+	32401	730	30	75	63	562	10904	16872	599	4026
UBA2	ENST00000246548.9	+	27388	364	14	89	56	205	9758	12859	2656	2115
UBA3	ENST00000361055.9	-	20517	525	24	57	110	334	12514	3381	1560	3062
UBA5	ENST00000356232.10	+	7373	345	62	123	37	122	4110	1940	415	906
UBA52	ENST00000442744.7	+	128286	377	56	29	26	266	32546	10773	555	84412
UBA6	ENST00000322244.10	-	1679	184	15	96	9	64	710	504	42	423
UBA7	ENST00000333486.4	-	266	48	1	15	19	13	9	107	60	90
UBAC1	ENST00000371756.4	-	4000	103	8	33	12	50	1723	1875	83	319
UBAC2	ENST00000403766.8	+	9766	202	12	34	45	111	6551	1140	1250	825
UBALD1	ENST00000283474.12	-	1111	30	12	2	0	16	1038	10	0	63
UBALD2	ENST00000327490.8	+	184	22	14	0	0	8	116	0	0	68
UBAP1	ENST00000297661.9	+	8261	175	12	53	5	105	5262	1912	123	964
UBAP1L	ENST00000559089.6	-	363	51	39	11	0	1	312	47	0	4
UBAP2	ENST00000379238.7	-	2681	152	18	69	27	38	414	1895	196	176
UBAP2L	ENST00000428931.6	+	13251	603	11	175	66	351	410	6946	471	5424
UBASH3B	ENST00000284273.6	+	161	33	12	17	0	4	66	86	0	9
UBB	ENST00000302182.8	+	350491	549	32	1	1	515	342399	5	11	8076
UBC	ENST00000339647.6	-	202589	563	44	0	2	517	182154	0	16	20419
UBE2A	ENST00000371558.7	+	9039	284	25	2	7	250	627	84	38	8290
UBE2B	ENST00000265339.7	+	18928	202	52	33	37	80	15289	808	1723	1108
UBE2C	ENST00000356455.9	+	17348	156	11	21	13	111	13926	601	324	2497
UBE2D1	ENST00000373910.9	+	10519	162	19	34	14	95	8704	463	149	1203
UBE2D2	ENST00000398733.8	+	27524	349	31	31	48	239	14639	5234	574	7077
UBE2D3	ENST00000453744.7	-	37451	733	4	29	3	697	33	543	16	36859
UBE2D4	ENST00000222402.8	+	3038	134	28	26	15	65	2216	173	297	352
UBE2E1	ENST00000306627.8	+	1915	71	8	15	2	46	1374	271	6	264
UBE2E2	ENST00000396703.6	+	1069	35	0	19	0	16	0	1007	0	62
UBE2E3	ENST00000410062.9	+	26643	242	27	57	28	130	17787	5979	1755	1122
UBE2F	ENST00000272930.9	+	8638	337	59	43	47	188	5926	746	487	1479
UBE2G1	ENST00000396981.7	-	6987	163	36	31	39	57	4951	1062	269	705
UBE2G2	ENST00000345496.7	-	8487	188	72	25	5	86	7367	287	58	775
UBE2H	ENST00000355621.8	-	877	70	32	22	6	10	625	209	17	26
UBE2I	ENST00000397514.8	+	35165	264	60	12	23	169	32703	725	174	1563
UBE2J1	ENST00000435041.3	-	2572	120	29	56	9	26	1938	440	50	144
UBE2J2	ENST00000349431.11	-	3069	96	21	17	16	42	2477	310	92	190
UBE2K	ENST00000261427.10	+	9549	221	18	36	12	155	296	963	56	8234
UBE2L3	ENST00000342192.9	+	17745	159	23	18	0	118	14513	2478	0	754
UBE2L5	ENST00000635918.2	+	7	3	0	0	2	1	0	0	4	3
UBE2L6	ENST00000287156.9	-	18813	114	17	9	4	84	17946	350	24	493
UBE2M	ENST00000253023.8	-	1803	47	2	6	2	37	34	905	9	855
UBE2N	ENST00000318066.7	-	50237	363	51	33	11	268	44306	3288	446	2197
UBE2O	ENST00000319380.12	-	1570	88	0	16	1	71	0	341	2	1227
UBE2Q1	ENST00000292211.5	-	2977	91	4	47	3	37	480	2206	7	284
UBE2Q2	ENST00000267938.9	+	1582	125	15	63	33	14	512	867	151	52
UBE2QL1	ENST00000399816.4	+	2275	26	8	0	0	18	2197	0	0	78
UBE2R2	ENST00000263228.4	+	2533	91	12	19	9	51	1236	910	130	257
UBE2S	ENST00000264552.14	-	5642	51	7	7	1	36	4523	913	4	202
UBE2T	ENST00000646651.1	-	19192	143	7	22	34	80	13667	2931	1134	1460
UBE2U	ENST00000371077.10	+	48	4	0	0	0	4	0	0	0	48
UBE2V1	ENST00000371674.8	-	42957	332	51	34	21	226	32926	5942	268	3821
UBE2V2	ENST00000523111.7	+	97436	374	63	18	22	271	92265	1284	935	2952
UBE2W	ENST00000602593.6	-	7073	149	41	50	10	48	5515	1185	48	325
UBE2Z	ENST00000360943.10	+	1617	86	28	15	2	40	998	381	36	200
UBE3A	ENST00000648336.2	-	77665	403	51	225	34	92	959	70670	405	5625
UBE3B	ENST00000342494.8	+	35943	477	28	205	30	214	9641	13341	892	12069
UBE3C	ENST00000348165.10	+	1523	129	17	62	1	48	180	874	3	464
UBE3D	ENST00000369747.8	-	1208	85	5	34	15	31	514	440	114	140
UBE4A	ENST00000252108.8	+	1305	113	6	89	4	14	330	889	12	74
UBE4B	ENST00000343090.11	+	2730	215	6	27	0	182	54	325	0	2351
UBFD1	ENST00000395878.8	+	827	57	13	20	11	13	291	166	118	252
UBIAD1	ENST00000376810.6	+	1963	59	37	0	0	22	1867	0	0	96
UBL3	ENST00000380680.5	-	4370	100	41	28	0	30	3667	427	0	273
UBL4A	ENST00000369660.9	-	9289	65	18	3	6	38	8614	277	177	221
UBL4B	ENST00000334179.5	+	3	1	1	0	0	0	3	0	0	0
UBL5	ENST00000586895.6	+	67902	204	22	12	19	151	59155	1195	740	6812
UBL7	ENST00000395081.7	-	19829	266	9	17	57	183	3597	1630	1687	12915
UBLCP1	ENST00000296786.8	+	14670	194	17	56	21	100	11221	2462	174	813
UBN1	ENST00000262376.11	+	958	98	2	86	1	9	4	860	3	91
UBN2	ENST00000473989.8	+	299	55	3	43	1	8	16	255	2	26
UBOX5	ENST00000217173.7	-	1263	47	5	20	0	22	319	193	0	751
UBP1	ENST00000283629.8	-	1061	90	9	70	2	9	137	879	5	40
UBQLN1	ENST00000376395.9	-	4524	208	36	88	22	62	2660	1215	96	553
UBQLN2	ENST00000338222.7	+	19210	135	108	0	0	0	18990	0	0	0
UBQLN4	ENST00000368309.4	-	3724	101	3	28	11	59	504	2954	42	224
UBR1	ENST00000290650.9	-	1025	142	7	114	4	17	120	804	13	88
UBR2	ENST00000372901.2	+	1229	161	1	128	4	28	5	1027	13	184
UBR3	ENST00000272793.11	+	2569	343	29	239	4	71	322	1838	8	401
UBR4	ENST00000375254.8	-	7735	289	17	107	15	150	757	5063	48	1867
UBR5	ENST00000520539.6	-	3349	292	1	229	14	47	5	3018	42	282
UBR7	ENST00000013070.11	+	3399	90	11	32	17	30	2567	281	316	235
UBTD1	ENST00000370664.4	+	790	18	10	4	0	4	723	48	0	19
UBTD2	ENST00000393792.3	-	1155	44	10	12	0	22	713	336	0	106
UBTF	ENST00000436088.6	-	5215	290	22	113	22	133	1261	2534	824	596
UBXN1	ENST00000301935.10	-	32153	288	18	42	49	179	25111	4076	950	2016
UBXN10	ENST00000375099.4	+	493	32	17	0	0	15	447	0	0	46
UBXN11	ENST00000374222.6	-	6495	474	8	28	103	335	396	766	3105	2228
UBXN2A	ENST00000309033.5	+	2598	176	11	28	19	118	1222	294	364	718
UBXN2B	ENST00000399598.7	+	2407	147	11	50	31	55	764	897	247	499
UBXN4	ENST00000272638.14	+	9374	320	10	123	31	156	2386	4623	482	1883
UBXN6	ENST00000301281.11	-	4499	114	11	28	20	55	266	2921	87	1225
UBXN7	ENST00000296328.9	-	980	83	14	29	10	30	525	255	33	167
UBXN8	ENST00000265616.10	+	2261	73	17	15	14	27	1839	159	91	172
UCHL1	ENST00000284440.9	+	340832	970	12	56	57	844	265487	46375	14780	14187
UCHL3	ENST00000377595.8	+	13403	210	26	14	23	147	346	642	2957	9458
UCHL5	ENST00000367454.6	-	10186	433	34	114	92	193	6258	1126	1139	1663
UCK1	ENST00000372215.5	-	5309	117	28	27	15	47	4068	454	274	513
UCK2	ENST00000367879.9	+	2823	67	21	15	21	10	2457	162	177	27
UCKL1	ENST00000354216.11	-	4383	205	1	18	15	171	5	797	86	3495
UCN	ENST00000296099.2	-	118	9	9	0	0	0	118	0	0	0
UCP1	ENST00000262999.4	-	20	3	2	0	0	1	16	0	0	4
UCP2	ENST00000663595.2	-	4296	48	10	4	8	26	3798	229	77	192
UCP3	ENST00000314032.9	-	8	3	0	3	0	0	0	8	0	0
UEVLD	ENST00000396197.8	-	448	69	19	18	9	22	284	62	23	77
UFC1	ENST00000368003.6	+	33120	209	18	12	29	150	29247	1008	768	2097
UFD1	ENST00000263202.15	-	10932	171	8	38	27	98	7339	764	925	1904
UFL1	ENST00000369278.5	+	3760	162	2	59	4	97	114	1666	14	1966
UFM1	ENST00000239878.9	+	18628	309	20	33	9	247	12983	1148	156	4341
UFSP2	ENST00000264689.11	-	11757	241	21	80	44	96	7352	2634	446	1325
UGCG	ENST00000374279.4	+	1620	60	6	29	4	21	946	500	12	162
UGDH	ENST00000316423.11	-	4991	165	27	59	14	65	1786	868	66	2271
UGGT1	ENST00000259253.11	+	433	116	0	51	3	62	0	220	12	201
UGGT2	ENST00000376747.8	-	2456	225	9	142	4	70	323	1766	13	354
UGP2	ENST00000337130.10	+	39056	406	24	78	52	252	26514	6403	2560	3579
UGT3A2	ENST00000282507.8	-	5	1	1	0	0	0	5	0	0	0
UGT8	ENST00000310836.11	+	2299	85	40	20	2	23	921	1233	11	134
UHMK1	ENST00000489294.2	+	679	37	14	17	2	4	493	144	15	27
UHRF1	ENST00000650932.1	+	3327	110	10	52	6	42	1649	1182	41	455
UHRF2	ENST00000276893.10	+	2035	147	44	64	10	29	601	1232	41	161
UIMC1	ENST00000511320.6	-	4827	291	16	75	61	139	622	1110	2056	1039
